Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Leslie John Locke,https://www.awm.gov.au/people/P10458454/#biography,25 December 1899,1899-12-25,"Australia: New South Wales, Richmond",none,Private,none,none,3rd Australian Infantry Battalion,none,1918-09-04,none,"65778 - First World War, 1914-1918",26 September 1951,1951-09-26,"Australia: New South Wales, Sydney",none
Private Olga Cecil Locke,https://www.awm.gov.au/people/P10518937/#biography,1895,1895,"Australia: New South Wales, Sydney, Waterloo",none,Private,none,none,36th Australian Infantry Battalion,none,1916-05-13,none,"120 - First World War, 1914-1918",8 October 1970,1970-10-08,none,none
Private Robert Locke,https://www.awm.gov.au/people/P10457720/#biography,26 January 1891,1891-01-26,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,none,none,1918-10-14,none,"67256 - First World War, 1914-1918",none,none,none,none
Private Thomas Locke,https://www.awm.gov.au/people/P10649424/#biography,1882,1882,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,7th Australian Light Horse Regiment,none,1917-12-19,none,"3715 - First World War, 1914-1918",none,none,none,none
Private Fred Lockyer,https://www.awm.gov.au/people/P10559370/#biography,none,none,"Australia: Western Australia, Perth",none,Private,none,none,none,none,1915-06-30,none,"1123 - First World War, 1914-1918",none,none,none,none
William Logan,https://www.awm.gov.au/people/P10680144/#biography,none,none,"Australia: Queensland, North Queensland, Atherton",none,none,none,none,"Depot
Light Horse",none,none,none,"19966 - First World War, 1914-1918",none,none,none,none
Peter Long,https://www.awm.gov.au/people/P10680145/#biography,none,none,"Australia: Queensland, Fassifern",none,none,none,"First World War, 1914-1918","Depot
25th Australian Infantry Battalion",none,none,none,none,none,none,none,none
Private George Longbottom,https://www.awm.gov.au/people/P10460218/#biography,none,none,"Australia: Queensland, Gold Coast, Coolangatta",none,Private,none,none,1st Australian Divisional Train,none,1918-07-17,none,"59545 - First World War, 1914-1918",none,none,none,none
James Longbottom,https://www.awm.gov.au/people/P10680148/#biography,none,none,"Australia: Queensland, Gold Coast, Coolangatta",none,none,none,"First World War, 1914-1918","Depot
Australian Imperial Force",none,none,none,none,none,none,none,none
Private William Lorraine,https://www.awm.gov.au/people/P10518039/#biography,none,none,"Australia: Queensland, North Queensland, Cairns",none,Private,none,none,Australian Imperial Force,none,1917-10-31,none,"3658 - First World War, 1914-1918",none,none,none,none
Private Alfred John Henry Lovett,https://www.awm.gov.au/people/P10484035/#biography,1880,1880,"Australia: Victoria, Milltown",none,Private,none,none,12th Australian Infantry Battalion,none,1915-10-27,none,"2919 - First World War, 1914-1918",1962,1962,none,none
Aircraftwoman Alice Lovett,https://www.awm.gov.au/people/P10678239/#biography,16 June 1922,1922-06-16,"Australia: Victoria, Hamilton",none,Aircraftwoman,none,none,none,none,none,none,"95994 - Second World War, 1939-1945",none,none,none,none
Private Edward McDonald Lovett,https://www.awm.gov.au/people/P10631455/#biography,4 August 1893,1893-08-04,"Australia: Victoria, Milltown",none,Private,none,none,13th Australian Light Horse Regiment,none,1915-11-23,none,"1598 - First World War, 1914-1918V85751 - Second World War, 1939-1945",1957,1957,none,none
Private Frederick Amos Lovett,https://www.awm.gov.au/people/P10634590/#biography,25 August 1887,1887-08-25,"Australia: Victoria, Lake Condah",none,Private,none,none,4th Australian Light Horse Regiment,none,1917-09-07,none,"3815 - First World War, 1914-1918V12095 - Second World War, 1939-1945",1958,1958,none,none
Private Herbert Stahle Lovett,https://www.awm.gov.au/people/P10646956/#biography,20 November 1895,1895-11-20,"Australia: Victoria, Lake Condah",none,Private,none,none,5th Australian Machine Gun Battalion,none,1917-10-30,none,"764 - First World War, 1914-1918V5180 - Second World War, 1939-1945",1976,1976,none,none
Private Leonard Charles Lovett,https://www.awm.gov.au/people/P10619162/#biography,12 April 1889,1889-04-12,"Australia: Victoria, Lake Condah",none,Private,none,none,39th Australian Infantry Battalion,none,1916-05-27,none,"1336 - First World War, 1914-1918V14915 - Second World War, 1939-1945",1951,1951,none,none
Samuel Alexander Peacock Lovett,https://www.awm.gov.au/people/P10678240/#biography,23 February 1903,1903-02-23,"Australia: Victoria, Heywood",none,none,none,none,2/5th Australian Infantry Battalion,none,none,none,"VX35999 - Second World War, 1939-1945",none,none,none,none
Private Sarah Pearl Lovett,https://www.awm.gov.au/people/P10678241/#biography,18 June 1921,1921-06-18,"Australia: Victoria, Hamilton",none,Private,none,none,Australian Women’s Army Services,none,none,none,"VF397888 - Second World War, 1939-1945",none,none,none,none
Private Jack Ludgate,https://www.awm.gov.au/people/P10629664/#biography,1890,1890,"Australia: South Australia, Oodnadatta",none,Private,none,none,3rd Australian Light Horse Regiment,none,1917-05-09,none,"3297 - First World War, 1914-1918",none,none,none,none
Private Leonard Lynch,https://www.awm.gov.au/people/P10656847/#biography,1 November 1890,1890-11-01,"Australia: Queensland, North Queensland, Cloncurry",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2434 - First World War, 1914-1918",none,none,none,none
Private Thomas Lyons,https://www.awm.gov.au/people/P10606392/#biography,1891,1891,"Australia: New South Wales, Condobolin",none,Private,none,none,54th Australian Infantry Battalion,none,1916-08-19,none,"2182 - First World War, 1914-1918",none,none,none,none
Private Sandy Mac Pherson,https://www.awm.gov.au/people/P10680182/#biography,none,none,"Australia: Western Australia, Laverton",none,Private,none,"First World War, 1914-1918","Depot
10th Australian Light Horse Regiment",none,none,none,none,none,none,none,none
Private Miller Mack,https://www.awm.gov.au/people/P10679276/#biography,1894,1894,"Australia: South Australia, Point McLeay",none,Private,none,none,50th Australian Infantry Battalion,none,1916-11-06,none,"2949 - First World War, 1914-1918",3 September 1919,1919-09-03,"Australia: South Australia, Adelaide, Bedford Park Hospital",none
Private Maitland Madge,https://www.awm.gov.au/people/P10677708/#biography,17 March 1894,1894-03-17,"Australia: Queensland, North Queensland, Cooktown",none,Private,none,none,"2/26 Battalion
15th Australian Infantry Battalion
2/26th Australian Infantry Battalion",none,1915-10-21,none,"3483 - First World War, 1914-1918QX1836 - Second World War, 1939-1945",7 June 1944,1944-06-07,Malaya,none
Sapper Francis Maher,https://www.awm.gov.au/people/P10682645/#biography,none,none,"Australia: Western Australia, Dandaragan",none,Sapper,none,none,none,none,1916-09-30,none,"5369 - First World War, 1914-1918",none,none,none,none
Private Harold Howard Maher,https://www.awm.gov.au/people/P10599596/#biography,1894,1894,"Australia: New South Wales, Karuah",none,Private,none,none,20th Australian Infantry Battalion,none,1917-01-24,none,"6551 - First World War, 1914-1918",none,none,none,none
Private John Maher,https://www.awm.gov.au/people/P10432595/#biography,none,none,"Australia: Western Australia, Moora",none,Private,none,none,51st Australian Infantry Battalion,none,1915-09-13,none,"3089 - First World War, 1914-1918",none,none,none,none
Private John Makinson,https://www.awm.gov.au/people/P10681948/#biography,none,none,"Australia: New South Wales, Narromine",none,Private,none,none,9th Australian Infantry Battalion,none,1915-09-18,none,"2184A - First World War, 1914-1918",23 July 1916,1916-07-23,France,none
Private Frederick Malthouse,https://www.awm.gov.au/people/P10484186/#biography,none,none,none,none,Private,none,none,47th Australian Infantry Battalion,none,1915-09-18,none,"2187 - First World War, 1914-1918",none,none,none,none
Benjamin James Manager,https://www.awm.gov.au/people/P10680233/#biography,none,none,"Australia: Queensland, Dunwich",none,none,none,"First World War, 1914-1918","Depot
Australian Imperial Force",none,none,none,none,none,none,none,none
Private Archie Douglas Mansell,https://www.awm.gov.au/people/P10582537/#biography,1896,1896,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,"51st Australian Infantry Battalion
52nd Australian Infantry Battalion",none,1916-03-29,none,"5150 - First World War, 1914-1918",none,none,none,none
Private George Enos Mansell,https://www.awm.gov.au/people/P10582536/#biography,1897,1897,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,51st Australian Infantry Battalion,none,1916-03-29,none,"5149 - First World War, 1914-1918",none,none,none,none
Private James Vivian Mansell,https://www.awm.gov.au/people/P10368740/#biography,1897,1897,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,52nd Australian Infantry Battalion,none,1916-04-23,none,"4436 - First World War, 1914-1918",none,none,none,none
Private Morgan Mansell,https://www.awm.gov.au/people/P10679270/#biography,1893,1893,"Australia: Tasmania, Flinders Island",none,Private,none,none,40th Australian Infantry Battalion,none,1917-06-14,none,"3355 - First World War, 1914-1918",1 November 1918,1918-11-01,France,none
Silas Milton Mansell,https://www.awm.gov.au/people/P10680235/#biography,none,none,"Australia: Tasmania, Flinders Island",none,none,none,"First World War, 1914-1918",Australian Imperial Force,none,none,none,none,none,none,none,none
Private Thomas Edward Mansell,https://www.awm.gov.au/people/P10679271/#biography,1892,1892,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,52nd Australian Infantry Battalion,none,1916-03-29,none,"5151 - First World War, 1914-1918",5 December 1916,1916-12-05,France,none
Private William Henry Mansell,https://www.awm.gov.au/people/P10557681/#biography,1892,1892,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,40th Australian Infantry Battalion,none,1917-06-14,none,"3356 - First World War, 1914-1918",13 September 1939,1939-09-13,none,none
Private Hubert William Marks,https://www.awm.gov.au/people/P10680236/#biography,none,none,"Australia: New South Wales, Wellington",none,Private,none,none,5th Australian Pioneer Battalion,none,1915-10-08,none,"3075 - First World War, 1914-1918",3 October 1918,1918-10-03,France,none
Private Sydney Robert Marks,https://www.awm.gov.au/people/P10649072/#biography,none,none,"Australia: New South Wales, Springdale",none,Private,none,none,38th Australian Infantry Battalion,none,1916-03-11,none,"2209 - First World War, 1914-19186053 - First World War, 1914-1918",none,none,none,none
Private Alfred Marlow,https://www.awm.gov.au/people/P10656734/#biography,none,none,"Australia: New South Wales, Forster",none,Private,none,none,15th Australian Light Horse Regiment,none,1916-05-05,none,"1720 - First World War, 1914-1918",none,none,none,none
Private George Marsh,https://www.awm.gov.au/people/P10682646/#biography,none,none,"Australia: Western Australia, Perth, Guildford",none,Private,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private Archibald James Marshall,https://www.awm.gov.au/people/P10679278/#biography,1893,1893,"Australia: Queensland, Bollon",none,Private,none,none,41st Australian Infantry Battalion,none,1917-06-14,none,"3402 - First World War, 1914-1918",24 April 1918,1918-04-24,France,none
Private Stanley Marshall,https://www.awm.gov.au/people/P10625592/#biography,17 July 1898,1898-07-17,"Australia: New South Wales, Nambucca Heads",none,Private,none,none,1st Australian Light Horse Regiment,none,1917-11-02,none,"3619 - First World War, 1914-1918",none,none,none,none
Private Richard Martin,https://www.awm.gov.au/people/P10677698/#biography,none,none,"Australia: Queensland, Brisbane, Stradbroke Island",none,Private,none,none,"15th Australian Infantry Battalion
47th Australian Infantry Battalion",none,1915-02-13,none,"1359A - First World War, 1914-19181359 - First World War, 1914-1918",28 March 1918,1918-03-28,France,none
Private Charles George Martyn,https://www.awm.gov.au/people/P10679277/#biography,1894,1894,"Australia: Queensland, Toowoomba",none,Private,none,none,26th Australian Infantry Battalion,none,1916-10-21,none,"5959 - First World War, 1914-1918",20 September 1917,1917-09-20,Belgium,none
Private Harry Thomas Martyn,https://www.awm.gov.au/people/P10349293/#biography,none,none,"Australia: Queensland, Thargomindah",none,Private,none,none,Australian Imperial Force,none,1917-01-24,none,"7262 - First World War, 1914-1918",none,none,none,none
Private Arthur Mason,https://www.awm.gov.au/people/P10432533/#biography,none,none,"Australia: Western Australia, Mortigallup",none,Private,none,none,11th Australian Infantry Battalion,none,1915-11-22,none,"3869 - First World War, 1914-1918",none,none,none,none
Private Harry Mason,https://www.awm.gov.au/people/P10415222/#biography,none,none,"Australia: New South Wales, Collarenebri",none,Private,none,none,none,none,1917-06-14,none,"7505 - First World War, 1914-1918",none,none,none,none
Private Henry Mason,https://www.awm.gov.au/people/P10680177/#biography,none,none,"Australia: Western Australia, Tenterden",none,Private,none,none,28th Australian Infantry Battalion,none,1915-06-29,none,"895 - First World War, 1914-1918",24 June 1916,1916-06-24,Belgium,none
Private John Mason,https://www.awm.gov.au/people/P10651668/#biography,none,none,"Australia: Western Australia, Albany",none,Private,none,none,none,none,1915-10-01,none,"1254 - First World War, 1914-1918",none,none,none,none
Private Randell Mason,https://www.awm.gov.au/people/P10555219/#biography,none,none,"Australia: Western Australia, Tenterden",none,Private,none,none,none,none,1915-06-29,none,"897 - First World War, 1914-1918",none,none,none,none
Private William Mason,https://www.awm.gov.au/people/P10651692/#biography,none,none,"Australia: Western Australia, Mortigallup",none,Private,none,none,none,none,1915-02-19,none,"810 - First World War, 1914-1918",none,none,none,none
Private Thomas Massey,https://www.awm.gov.au/people/P10456710/#biography,1897,1897,"Australia: Western Australia, Kalgoorlie",none,Private,none,none,28th Australian Infantry Battalion,none,1917-06-29,none,"6919 - First World War, 1914-1918",none,none,none,none
Private James Donald Matheson,https://www.awm.gov.au/people/P10682649/#biography,none,none,"Australia: New South Wales, Coonabarabran",none,Private,none,none,33rd Australian Infantry Battalion,none,none,none,"N11053 - First World War, 1914-1918",none,none,none,none
Private John Duncan Matheson,https://www.awm.gov.au/people/P10492230/#biography,none,none,"Australia: New South Wales, Coonabarabran",none,Private,none,none,none,none,1916-05-04,none,"1628 - First World War, 1914-1918",none,none,none,none
Private Cecil Walter Leon Maynard,https://www.awm.gov.au/people/P10677688/#biography,1897,1897,"Australia: Tasmania, Flinders Island",none,Private,none,none,57th Australian Infantry Battalion,none,1916-03-07,none,"4988 - First World War, 1914-1918",none,none,none,none
Private Edward Lewis Maynard,https://www.awm.gov.au/people/P10677689/#biography,none,none,"Australia: Tasmania, Flinders Island",none,Private,none,none,15th Australian Infantry Battalion,none,1915-06-04,none,"2294 - First World War, 1914-1918",8 August 1915,1915-08-08,"Ottoman Empire: Turkey, Marmara, Gallipoli Peninsula",none
Private Frank Maynard,https://www.awm.gov.au/people/P10677693/#biography,none,none,"Australia: Tasmania, Flinders Island",none,Private,none,none,26th Australian Infantry Battalion,none,1915-06-29,none,"1153 - First World War, 1914-1918",30 August 1916,1916-08-30,France,none
Private James Henry Paul Maynard,https://www.awm.gov.au/people/P10372950/#biography,1897,1897,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,none,none,1917-02-10,none,"7314 - First World War, 1914-1918",none,none,none,none
Private Leo Victor Maynard,https://www.awm.gov.au/people/P10348284/#biography,none,none,"Australia: Tasmania, Flinders Island",none,Private,none,none,none,none,1915-11-24,none,"3992 - First World War, 1914-1918",none,none,none,none
Private Roy Leonard Maynard,https://www.awm.gov.au/people/P10347414/#biography,1890,1890,"Australia: Tasmania, Flinders Island",none,Private,none,none,none,none,1916-08-24,none,"6334 - First World War, 1914-19186324 - First World War, 1914-1918",none,none,none,none
Private William Samuel Maynard,https://www.awm.gov.au/people/P10677694/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,12th Australian Infantry Battalion,none,1916-08-24,none,"6311 - First World War, 1914-1918",6 April 1917,1917-04-06,France,none
Private Jack McAlister,https://www.awm.gov.au/people/P10473112/#biography,1897,1897,"Australia: Queensland, Charters Towers",none,Private,none,none,none,none,1917-10-31,none,"7745 - First World War, 1914-1918",none,none,none,none
Private James McBride,https://www.awm.gov.au/people/P10656852/#biography,6 December 1895,1895-12-06,"Australia: New South Wales, Sydney",none,Private,none,none,none,none,1917-12-19,none,"2438 - First World War, 1914-1918",none,none,none,none
Private James Patrick McBride,https://www.awm.gov.au/people/P10677923/#biography,1894,1894,"Australia: New South Wales, Sydney",1915-09-07,Private,1915-11-24,none,none,none,none,none,"7396 - First World War, 1914-1918",none,none,none,none
Private Arthur Edward McCallum,https://www.awm.gov.au/people/P10394290/#biography,none,none,"Australia: Western Australia, Albany",none,Private,none,none,none,none,1914-12-22,none,"165 - First World War, 1914-1918",none,none,none,none
Driver George Henry McCallum,https://www.awm.gov.au/people/P10601648/#biography,none,none,"Australia: Western Australia, Albany",none,Driver,none,none,none,none,1915-10-11,none,"5707 - First World War, 1914-1918",none,none,none,none
Private Harold McCallum,https://www.awm.gov.au/people/P10563392/#biography,none,none,"Australia: Queensland, Gayndah",none,Private,none,none,none,none,1915-08-20,none,"1084 - First World War, 1914-1918",none,none,none,none
Private Joseph Henry McCallum,https://www.awm.gov.au/people/P10589809/#biography,none,none,"Australia: Queensland, Eidsvold",none,Private,none,none,none,none,1915-10-04,none,"1202 - First World War, 1914-1918",none,none,none,none
Private Jack McCrae,https://www.awm.gov.au/people/P10460462/#biography,none,none,"Australia: New South Wales, Angledool",none,Private,none,none,none,none,1918-06-19,none,"58610 - First World War, 1914-1918",none,none,none,none
Private Walter McCready,https://www.awm.gov.au/people/P10546412/#biography,none,1887-10-04,"Australia: Victoria, Glenorchy",none,Private,none,none,none,none,1918-02-28,none,"3755 - First World War, 1914-1918",none,none,none,none
Private Allen McDonald,https://www.awm.gov.au/people/P10635298/#biography,4 October 1887,1887-10-04,"Australia: Victoria, Lake Condah",none,Private,none,none,none,none,1915-02-08,none,"764 - First World War, 1914-1918V4787 - Second World War, 1939-1945",none,none,none,none
Signalman Claude Henry McDonald,https://www.awm.gov.au/people/P10678242/#biography,6 October 1919,1919-10-06,"Australia: Victoria, Richmond",none,Signalman,none,none,none,none,none,none,"VX61245 - Second World War, 1939-1945",none,none,none,none
George Winter McDonald,https://www.awm.gov.au/people/P10677873/#biography,26 November 1893,1893-11-26,"Australia: Victoria, Lake Condah",1941-02-04,none,1915-10-25,none,none,none,none,none,"1075 - First World War, 1914-1918V10841 - Second World War, 1939-1945",1 July 1942,1942-07-01,"Australia: Victoria, Richmond",none
Private Mervyn Stanley McDonald,https://www.awm.gov.au/people/P10678243/#biography,2 November 1946,1946-11-02,"Australia: Victoria, Melbourne",none,Private,none,none,"1st Battalion, Royal Australian Regiment",none,none,none,"3791264 - Vietnam, 1962-1975",none,none,none,none
Private Niney McDonald,https://www.awm.gov.au/people/P10590652/#biography,13 August 1890,1890-08-13,"Australia: Queensland, St George",none,Private,none,none,none,none,1918-04-30,none,"4441 - First World War, 1914-1918",none,none,none,none
Private Richard McDonald,https://www.awm.gov.au/people/P10682650/#biography,none,none,"Australia: Queensland, Burdekin River",none,Private,none,none,1st Australian Infantry Battalion,none,1916-04-01,none,"5182 - First World War, 1914-1918",24 July 1916,1916-07-24,France,none
Driver Roy McDonald,https://www.awm.gov.au/people/P10677651/#biography,none,none,"Australia: Victoria, Melbourne",none,Driver,none,none,1st Australian Field Artillery Brigade,none,none,none,"3558 - First World War, 1914-1918",4 September 1918,1918-09-04,France,none
Private John McEwen,https://www.awm.gov.au/people/P10336870/#biography,1895,1895,"Australia: New South Wales, Coonamble",none,Private,none,none,none,none,1916-11-09,none,"7040 - First World War, 1914-1918",none,none,none,none
Private Jack McFarlane,https://www.awm.gov.au/people/P10677879/#biography,1882,1882,"Australia: New South Wales, Walgett",1917-05-09,Private,1917-05-10,none,none,none,none,none,"N77414 - First World War, 1914-1918",none,none,none,none
Private Daniel McGowan,https://www.awm.gov.au/people/P10682651/#biography,none,none,"Australia: Queensland, Brisbane, Fallon",none,Private,none,none,none,none,none,none,"N77946 - First World War, 1914-1918",none,none,none,none
Private Edward McGregor,https://www.awm.gov.au/people/P10466191/#biography,1899,1899,"Australia: Queensland, Taroom",none,Private,none,none,none,none,1918-11-07,none,"65101 - First World War, 1914-1918",none,none,none,none
Private Thomas McGuiness,https://www.awm.gov.au/people/P10468950/#biography,1894,1894,"Australia: New South Wales, Eugowra",none,Private,none,none,38th Australian Infantry Battalion,none,1916-12-16,none,"3266 - First World War, 1914-1918",none,none,none,none
Private Alex McKenzie,https://www.awm.gov.au/people/P10677881/#biography,1882,1882,"Australia: Northern Territory, Port Darwin",1917-01-25,Private,1917-01-26,none,none,none,none,none,"N74429 - First World War, 1914-1918",23 February 1922,1922-02-23,"Australia: Northern Territory, Timber Creek",none
Andrew McKenzie,https://www.awm.gov.au/people/P10677882/#biography,1895,1895,"Australia: New South Wales, Gordon Lake",none,none,none,none,none,none,none,none,"3357 - First World War, 1914-1918",none,none,none,none
Private Jack McKenzie,https://www.awm.gov.au/people/P10677884/#biography,1889,1889,"Australia: Western Australia, Roebourne",1916-01-22,Private,1916-02-14,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Lawrence McKenzie,https://www.awm.gov.au/people/P10677885/#biography,1888,1888,"Australia: New South Wales, Narrabri",1917-01-02,Private,1917-01-02,none,Depot,none,none,none,"N51828 - First World War, 1914-1918",none,none,none,none
Private William John McKenzie,https://www.awm.gov.au/people/P10682223/#biography,none,none,"Australia: New South Wales, Cuttabri",none,Private,none,none,none,none,none,none,"N78517 - First World War, 1914-1918",none,none,none,none
Private Alexander McKinnon,https://www.awm.gov.au/people/P10677612/#biography,June 1889,1889-06,"Australia: Northern Territory, Charlotte Waters",none,Private,none,none,"43rd Australian Infantry Battalion
50th Australian Infantry Battalion",none,1916-08-12,none,"2230 - First World War, 1914-1918",4 October 1917,1917-10-04,"Western Front: Western Front (Belgium), Ypres Area, Ypres",none
Private James Andrew McKinnon,https://www.awm.gov.au/people/P10680178/#biography,none,none,"Australia: Victoria, Bairnsdale",none,Private,none,none,Depot,none,none,none,"3002 - First World War, 1914-1918",none,none,none,none
Private John McLeod,https://www.awm.gov.au/people/P10677696/#biography,none,none,"Australia: New South Wales, Bombala",none,Private,none,none,none,none,1916-12-16,none,"2874 - First World War, 1914-1918",none,none,none,none
Private Horace McMurray,https://www.awm.gov.au/people/P10654120/#biography,1897,1897,"Australia: Western Australia, Northampton",none,Private,none,none,none,none,1916-04-01,none,"2232 - First World War, 1914-1918",8 July 1949,1949-07-08,none,none
James Allen McNeill,https://www.awm.gov.au/people/P10682228/#biography,2 March 1895,1895-03-02,"Australia: New South Wales, Boggabri",1912-08-12,none,none,none,HMAS Australia,none,none,none,"2036 - First World War, 1914-1918",none,none,none,none
Private William George McNeill,https://www.awm.gov.au/people/P10682224/#biography,none,none,"Australia: New South Wales, Boggabri",none,Private,none,none,"4th Australian Infantry Battalion
1st Australian Machine Gun Battalion",none,1914-10-20,none,"668 - First World War, 1914-1918",none,none,none,none
Roy McPhee,https://www.awm.gov.au/people/P10677887/#biography,1895,1895,"Australia: Western Australia, Brookton",1916-01-04,none,1916-02-14,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Ernest McRivers,https://www.awm.gov.au/people/P10677888/#biography,October 1894,1894-10,"Australia: Victoria, Lake Tyers",1918-03-04,none,1918-05-27,none,none,none,none,none,"51641 - First World War, 1914-1918V51641 - First World War, 1914-1918",none,none,none,none
Private Frederick Carnat David Mead,https://www.awm.gov.au/people/P10677924/#biography,1875,1875,"Australia: Western Australia, Mundijong",1915-12-15,Private,1916-03-13,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Herbert William Medcraft,https://www.awm.gov.au/people/P10682652/#biography,none,none,"Australia: Tasmania, Barrington",none,Private,none,none,none,none,none,none,"T8146 - First World War, 1914-1918",none,none,none,none
Private Oscar William Medcraft,https://www.awm.gov.au/people/P10677697/#biography,none,none,"Australia: Tasmania, Sheffield",none,Private,none,none,12th Australian Infantry Battalion,none,1916-09-30,none,"6484 - First World War, 1914-1918",6 April 1917,1917-04-06,France,none
Private Robert Medcraft,https://www.awm.gov.au/people/P10677933/#biography,20 January 1898,1898-01-20,"Australia: Tasmania, Sheffield",1917-10-16,Private,1917-11-08,none,none,none,none,none,"T7204 - First World War, 1914-1918",none,none,none,none
Private James Melbourne,https://www.awm.gov.au/people/P10436682/#biography,none,none,"Australia: Western Australia, Perth",none,Private,none,none,none,none,1915-07-16,none,"2515 - First World War, 1914-1918",none,none,none,none
Private Frederick Meredith,https://www.awm.gov.au/people/P10547912/#biography,none,none,"Australia: Queensland, Georgetown",none,Private,none,none,none,none,1917-06-14,none,"3340 - First World War, 1914-1918",none,none,none,none
Private James Merritt,https://www.awm.gov.au/people/P10414517/#biography,none,none,"Australia: New South Wales, Queanbeyan",none,Private,none,none,none,none,1916-04-14,none,"5410 - First World War, 1914-1918",none,none,none,none
Private Patrick Michael,https://www.awm.gov.au/people/P10549890/#biography,none,none,"Australia: Queensland, Gympie",none,Private,none,none,none,none,1916-06-06,none,"331 - First World War, 1914-1918",none,none,none,none
Private Herbert Milera,https://www.awm.gov.au/people/P10535530/#biography,none,none,"Australia: South Australia, Port Lincoln",none,Private,none,none,none,none,1916-11-06,none,"3016 - First World War, 1914-19183015 - First World War, 1914-1918",none,none,none,none
Private Charles Arthur James Miller,https://www.awm.gov.au/people/P10549856/#biography,none,none,"Australia: Tasmania, Nicholls Rivulet",none,Private,none,none,none,none,1916-10-25,none,"2612B - First World War, 1914-19182612 - First World War, 1914-1918",none,none,none,none
Private Jack Miller,https://www.awm.gov.au/people/P10677930/#biography,10 August 1883,1883-08-10,"Australia: New South Wales, Moruya",1918-10-26,Private,1918-12-31,none,none,none,none,none,"N96174 - First World War, 1914-1918",none,none,none,none
Private Jack Miller,https://www.awm.gov.au/people/P10677929/#biography,10 August 1873,1873-08-10,"Australia: New South Wales, Mudgee",1918-01-19,Private,1918-01-22,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private John William Miller,https://www.awm.gov.au/people/P10677702/#biography,1889,1889,"Australia: Tasmania, Peppermint Bay",none,Private,none,none,12th Australian Infantry Battalion,none,1914-12-22,none,"1227 - First World War, 1914-1918",25 April 1915,1915-04-25,"Ottoman Empire: Turkey, Marmara, Gallipoli Peninsula",none
Private William Charles Miller,https://www.awm.gov.au/people/P10590597/#biography,none,none,"Australia: Western Australia, Geraldton",none,Private,none,none,none,none,1917-09-17,none,"3482 - First World War, 1914-1918",none,none,none,none
Private William Charles Miller,https://www.awm.gov.au/people/P10375040/#biography,none,none,"Australia: Tasmania, Cygnet",none,Private,none,none,none,none,1917-06-14,none,"7515 - First World War, 1914-1918",none,none,none,none
Private James Milligan,https://www.awm.gov.au/people/P10555938/#biography,none,none,"Australia: New South Wales, Sydney, Waterloo",none,Private,none,none,none,none,1917-05-10,none,"3669 - First World War, 1914-1918",none,none,none,none
Private Bismark Mitchell,https://www.awm.gov.au/people/P10677931/#biography,1898,1898,"Australia: Queensland, Mitchell",1917-05-14,Private,1917-06-13,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private George William Mitchell,https://www.awm.gov.au/people/P10608484/#biography,28 November 1889,1889-11-28,"Australia: Queensland, Bundaberg",none,Private,none,none,none,none,1918-03-02,none,"5386 - First World War, 1914-1918Q213256 - Second World War, 1939-1945",none,none,none,none
Private David Molloy,https://www.awm.gov.au/people/P10656851/#biography,none,none,"Australia: Queensland, Mount Molloy",none,Private,none,none,none,none,1917-12-19,none,"2437 - First World War, 1914-1918",none,none,none,none
Private Henry Monsell,https://www.awm.gov.au/people/P10680179/#biography,none,none,"Australia: Queensland, Strathmore Station",none,Private,none,none,Depot,none,none,none,"Q19604 - First World War, 1914-1918",none,none,none,none
Private Charlie Morgan,https://www.awm.gov.au/people/P10605010/#biography,none,none,"Australia: Queensland, Ipswich",none,Private,none,none,none,none,1917-08-01,none,"3679 - First World War, 1914-1918",none,none,none,none
Private David Morgan,https://www.awm.gov.au/people/P10417767/#biography,none,none,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,none,none,1915-06-16,none,"2180 - First World War, 1914-1918",none,none,none,none
Private Eric Morgan,https://www.awm.gov.au/people/P10677935/#biography,4 January 1899,1899-01-04,"Australia: Queensland, North Queensland, Innisfail",1918-07-08,Private,1918-12-31,none,none,none,none,none,"Q23940 - First World War, 1914-1918",none,none,none,none
